Rank,Reg.No,GPA,Prov Field,Pref
1,E/21/138,4,Comp,1
1,E/21/408,3.972727273,Elect,1
3,E/21/245,3.972727273,Comp,1
4,E/21/291,3.972727273,Elect,1
4,E/21/200,3.945454545,Comp,1
6,E/21/178,3.936363636,Elect,1
7,E/21/180,3.909090909,Comp,1
8,E/21/139,3.881818182,Elect,1
9,E/21/016,3.881818182,Elect,1
10,E/21/206,3.881818182,Comp,1
11,E/21/182,3.881818182,Elect,1
12,E/21/036,3.881818182,Comp,1
13,E/21/063,3.872727273,Elect,1
14,E/21/024,3.854545455,Comp,1
15,E/21/050,3.854545455,Comp,1
15,E/21/404,3.854545455,Elect,1
17,E/21/109,3.854545455,Elect,1
18,E/21/142,3.827272727,Chem,1
19,E/21/418,3.827272727,Elect,1
20,E/21/375,3.827272727,Comp,1
21,E/21/127,3.827272727,Comp,1
22,E/21/278,3.827272727,Elect,1
23,E/21/420,3.818181818,Elect,1
24,E/21/154,3.818181818,Elect,1
25,E/21/220,3.818181818,Comp,1
26,E/21/334,3.818181818,Elect,1
27,E/21/391,3.790909091,Comp,1
28,E/21/308,3.790909091,Elect,1
29,E/21/287,3.790909091,Comp,1
30,E/21/433,3.790909091,Comp,1
31,E/21/171,3.790909091,Elect,1
32,E/21/362,3.790909091,Comp,1
33,E/21/231,3.790909091,Comp,1
33,E/21/398,3.781818182,Elect,1
35,E/21/088,3.772727273,Elect,1
36,E/21/452,3.763636364,Comp,1
36,E/21/132,3.763636364,Elect,1
38,E/21/005,3.763636364,Comp,1
39,E/21/444,3.763636364,Comp,1
40,E/21/081,3.763636364,Elect,1
41,E/21/279,3.763636364,Chem,1
42,E/21/326,3.763636364,Elect,1
43,E/21/216,3.763636364,Elect,1
44,E/21/256,3.763636364,Manufac,1
45,E/21/302,3.754545455,Comp,1
46,E/21/395,3.754545455,Comp,1
47,E/21/345,3.754545455,Elect,1
48,E/21/117,3.745454545,Elect,1
49,E/21/080,3.745454545,Elect,1
50,E/21/367,3.736363636,Elect,1
51,E/21/136,3.736363636,Elect,1
52,E/21/087,3.727272727,Comp,1
53,E/21/373,3.727272727,Chem,1
54,E/21/311,3.727272727,Elect,1
55,E/21/104,3.727272727,Elect,1
56,E/21/225,3.727272727,Elect,1
57,E/21/277,3.718181818,Comp,1
58,E/21/106,3.709090909,Comp,1
59,E/21/336,3.7,Comp,1
60,E/21/003,3.7,Elect,1
61,E/21/196,3.7,Comp,1
62,E/21/406,3.7,Elect,1
63,E/21/017,3.7,Comp,1
64,E/21/153,3.690909091,Elect,1
65,E/21/004,3.690909091,Elect,1
66,E/21/386,3.690909091,Comp,1
67,E/21/304,3.681818182,Elect,1
68,E/21/415,3.681818182,Comp,1
69,E/21/366,3.672727273,Elect,1
70,E/21/397,3.672727273,Elect,1
71,E/21/227,3.672727273,Elect,1
72,E/21/257,3.672727273,Elect,1
73,E/21/258,3.672727273,Elect,1
74,E/21/429,3.672727273,Elect,1
75,E/21/143,3.672727273,Elect,1
76,E/21/193,3.663636364,Comp,1
77,E/21/430,3.654545455,Elect,1
78,E/21/149,3.654545455,Elect,1
79,E/21/102,3.645454545,Elect,1
80,E/21/282,3.645454545,Elect,1
81,E/21/412,3.645454545,Comp,1
82,E/21/043,3.645454545,Elect,1
83,E/21/120,3.645454545,Elect,1
84,E/21/212,3.645454545,Elect,1
85,E/21/141,3.645454545,Comp,1
86,E/21/019,3.645454545,Comp,1
87,E/21/332,3.636363636,Mech,1
88,E/21/137,3.636363636,Comp,1
89,E/21/295,3.636363636,Elect,1
90,E/21/407,3.636363636,Comp,1
91,E/21/417,3.636363636,Comp,1
92,E/21/228,3.636363636,Elect,1
93,E/21/296,3.618181818,Elect,1
94,E/21/011,3.618181818,Elect,1
