Rank,Reg.No,GPA,Prov Field,Pref
1,E/20/019,4,Elect,1
1,E/20/037,4,Comp,1
3,E/20/168,3.98,Comp,1
4,E/20/198,3.98,Mech,1
4,E/20/369,3.98,Comp,1
6,E/20/416,3.95,Comp,1
7,E/20/055,3.95,Comp,1
8,E/20/365,3.94,Comp,1
9,E/20/316,3.92,Comp,1
10,E/20/248,3.92,Comp,1
11,E/20/452,3.91,Mech,1
12,E/20/209,3.9,Elect,1
13,E/20/187,3.89,Elect,1
14,E/20/097,3.89,Elect,1
15,E/20/343,3.89,Elect,1
15,E/20/392,3.89,Elect,1
17,E/20/387,3.86,Mech,1
18,E/20/276,3.85,Comp,1
19,E/20/270,3.85,Elect,1
20,E/20/271,3.85,Comp,1
21,E/20/157,3.83,Comp,1
22,E/20/384,3.82,Chem,1
23,E/20/279,3.82,Comp,1
24,E/20/397,3.82,Comp,1
25,E/20/262,3.82,Comp,1
26,E/20/449,3.81,Comp,1
27,E/20/333,3.8,Elect,1
28,E/20/363,3.8,Comp,1
29,E/20/385,3.8,Comp,1
30,E/20/329,3.8,Elect,1
31,E/20/228,3.8,Elect,1
32,E/20/412,3.8,Elect,1
33,E/20/036,3.8,Comp,1
33,E/20/148,3.8,Comp,1
35,E/20/048,3.8,Mech,1
36,E/20/286,3.8,Comp,1
36,E/20/366,3.8,Comp,1
38,E/20/453,3.8,Comp,1
39,E/20/136,3.79,Elect,1
40,E/20/231,3.79,Comp,1
41,E/20/096,3.78,Elect,1
42,E/20/111,3.77,Elect,1
43,E/20/094,3.77,Comp,1
44,E/20/043,3.77,Chem,1
45,E/20/035,3.75,Comp,1
46,E/20/084,3.74,Comp,1
47,E/20/211,3.74,Comp,1
48,E/20/346,3.74,Comp,1
49,E/20/428,3.74,Chem,1
50,E/20/234,3.74,Elect,1
51,E/20/009,3.74,Comp,1
52,E/20/090,3.73,Elect,1
53,E/20/414,3.73,Elect,1
54,E/20/186,3.73,Chem,1
55,E/20/069,3.73,Comp,1
56,E/20/087,3.71,Comp,1
57,E/20/254,3.71,Comp,1
58,E/20/285,3.7,Comp,1
59,E/20/441,3.7,Elect,1
60,E/20/034,3.7,Comp,1
61,E/20/064,3.7,Elect,1
62,E/20/419,3.7,Comp,1
63,E/20/016,3.7,Comp,1
64,E/20/404,3.69,Comp,1
65,E/20/455,3.68,Comp,1
66,E/20/361,3.68,Comp,1
67,E/20/332,3.68,Elect,1
68,E/20/230,3.68,Elect,1
69,E/20/266,3.68,Comp,1
70,E/20/140,3.68,Mech,1
71,E/20/173,3.67,Comp,1
72,E/20/291,3.67,Elect,1
73,E/20/456,3.67,Comp,1
74,E/20/342,3.67,Comp,1
75,E/20/179,3.67,Comp,1
76,E/20/434,3.67,Comp,1
77,E/20/425,3.66,Elect,1
78,E/20/197,3.66,Comp,1
79,E/20/259,3.66,Comp,1
80,E/20/054,3.65,Comp,1
81,E/20/032,3.65,Comp,1
82,E/20/239,3.65,Civil,1
83,E/20/131,3.65,Comp,1
84,E/20/121,3.65,Comp,1
85,E/20/328,3.64,Comp,1
86,E/20/138,3.64,Elect,1
87,E/20/093,3.64,Comp,1
88,E/20/025,3.64,Mech,2
89,E/20/305,3.63,Comp,1
90,E/20/089,3.63,Comp,1
91,E/20/344,3.62,Elect,1
92,E/20/107,3.62,Elect,1
93,E/20/099,3.62,Comp,1
94,E/20/420,3.61,Comp,1
95,E/20/339,3.61,Comp,1
96,E/20/189,3.61,Comp,1
97,E/20/418,3.6,Elect,1
98,E/20/133,3.6,Comp,1
99,E/20/158,3.6,Comp,1
100,E/20/242,3.6,Comp,1
101,E/20/202,3.6,Mech,1
102,E/20/378,3.6,Comp,1
103,E/20/122,3.59,Comp,1
104,E/20/178,3.59,Comp,1
105,E/20/288,3.59,Comp,1
106,E/20/199,3.58,Comp,1
107,E/20/349,3.58,Elect,1
108,E/20/381,3.58,Comp,1
109,E/20/377,3.58,Comp,1
110,E/20/260,3.57,Mech,1
111,E/20/319,3.56,Elect,1
112,E/20/284,3.56,Comp,1
113,E/20/334,3.56,Elect,1
114,E/20/141,3.56,Chem,1
115,E/20/085,3.56,Elect,1
116,E/20/447,3.55,Comp,1
117,E/20/062,3.55,Comp,1
118,E/20/253,3.55,Elect,1
119,E/20/078,3.55,Comp,1
120,E/20/370,3.55,Comp,1
121,E/20/272,3.55,Comp,1
122,E/20/300,3.55,Comp,1
123,E/20/212,3.55,Comp,1
124,E/20/244,3.54,Comp,1
125,E/20/376,3.54,Comp,1
126,E/20/367,3.53,Comp,1
127,E/20/309,3.53,Elect,1
128,E/20/098,3.52,Elect,1
129,E/20/318,3.52,Comp,1
130,E/20/350,3.52,Comp,1
131,E/20/371,3.52,Comp,1
132,E/20/026,3.52,Elect,1
133,E/20/439,3.52,Comp,1
134,E/20/325,3.52,Elect,1
135,E/20/024,3.52,Comp,1
136,E/20/177,3.52,Elect,1
137,E/20/100,3.52,Comp,1
138,E/20/338,3.51,Comp,1
139,E/20/049,3.51,Comp,1
140,E/20/018,3.5,Elect,1
141,E/20/243,3.5,Comp,1
142,E/20/280,3.5,Comp,1
143,E/20/163,3.5,Elect,1
144,E/20/390,3.5,Elect,2
145,E/20/061,3.5,Elect,2
146,E/20/033,3.5,Elect,1
147,E/20/351,3.5,Elect,1
148,E/20/224,3.49,Elect,1
149,E/20/006,3.49,Elect,2
150,E/20/020,3.49,Elect,1
151,E/20/457,3.49,Elect,2
152,E/20/362,3.48,Elect,2
153,E/20/269,3.48,Elect,2
154,E/20/340,3.47,Elect,2
155,E/20/294,3.47,Elect,2
156,E/20/214,3.47,Elect,1
156,E/20/317,3.47,Elect,2
158,E/20/293,3.47,Elect,2
159,E/20/210,3.47,Elect,2
160,E/20/152,3.46,Elect,2
161,E/20/327,3.46,Elect,2
162,E/20/196,3.46,Elect,1
163,E/20/091,3.46,Elect,2
164,E/20/182,3.46,Elect,2
165,E/20/010,3.46,Elect,2
166,E/20/132,3.46,Elect,2
167,E/20/116,3.46,Chem,1
168,E/20/057,3.46,Elect,1
169,E/20/040,3.46,Chem,1
170,E/20/273,3.46,Elect,2
171,E/20/155,3.46,Elect,2
172,E/20/409,3.46,Elect,2
173,E/20/440,3.44,Elect,1
174,E/20/459,3.44,Elect,2
175,E/20/063,3.44,Elect,2
176,E/20/130,3.44,Elect,1
177,E/20/174,3.44,Elect,1
178,E/20/326,3.43,Elect,1
179,E/20/282,3.43,Elect,2
180,E/20/072,3.43,Elect,1
181,E/20/374,3.43,Manufac,2
182,E/20/396,3.43,Chem,1
183,E/20/236,3.43,Elect,2
184,E/20/241,3.43,Elect,2
185,E/20/336,3.43,Elect,2
186,E/20/373,3.43,Elect,2
187,E/20/436,3.43,Elect,2
188,E/20/372,3.43,Elect,1
189,E/20/082,3.43,Elect,2
190,E/20/451,3.43,Elect,2
191,E/20/423,3.43,Elect,2
192,E/20/011,3.42,Elect,2
193,E/20/427,3.42,Elect,1
194,E/20/219,3.41,Chem,2
195,E/20/183,3.4,Elect,2
196,E/20/401,3.4,Elect,2
197,E/20/267,3.4,Elect,1
